Cidade;Unidade;Ano;Mês;Quantidade
Uberlândia;Coordenação do Programa de Pós-Graduação em Matemática;2023;Agosto;0
Uberlândia;Coordenação do Programa de Pós-Graduação em Matemática;2023;Setembro;0
Uberlândia;Coordenação do Programa de Pós-Graduação em Matemática;2023;Outubro;0
Uberlândia;Coordenação do Programa de Pós-Graduação em Matemática;2023;Novembro;0
Uberlândia;Coordenação do Programa de Pós-Graduação em Matemática;2023;Dezembro;0
Uberlândia;Coordenação do Programa de Pós-Graduação em Psicologia;2023;Janeiro;0
Uberlândia;Coordenação do Programa de Pós-Graduação em Psicologia;2023;Fevereiro;10
Uberlândia;Coordenação do Programa de Pós-Graduação em Psicologia;2023;Março;0
Uberlândia;Coordenação do Programa de Pós-Graduação em Psicologia;2023;Abril;9
Uberlândia;Coordenação do Programa de Pós-Graduação em Psicologia;2023;Maio;0
Uberlândia;Coordenação do Programa de Pós-Graduação em Psicologia;2023;Junho;0
Uberlândia;Coordenação do Programa de Pós-Graduação em Psicologia;2023;Julho;0
Uberlândia;Coordenação do Programa de Pós-Graduação em Psicologia;2023;Agosto;0
Uberlândia;Coordenação do Programa de Pós-Graduação em Psicologia;2023;Setembro;0
Uberlândia;Coordenação do Programa de Pós-Graduação em Psicologia;2023;Outubro;0
Uberlândia;Coordenação do Programa de Pós-Graduação em Psicologia;2023;Novembro;0
Uberlândia;Coordenação do Programa de Pós-Graduação em Psicologia;2023;Dezembro;0
Uberlândia;Curso de Engenharia Civil;2023;Janeiro;0
Uberlândia;Curso de Engenharia Civil;2023;Fevereiro;0
Uberlândia;Curso de Engenharia Civil;2023;Março;0
Uberlândia;Curso de Engenharia Civil;2023;Abril;0
